Node 1,Node 2,Relationship
Innovator,Hailo,Status
Innovator,Hanhua Financial,Status
Innovator,Home24,Status
Innovator,Honest Company,Status
Innovator,Houzz,Status
Innovator,Infinidot,Status
Innovator,InMobi,Status
Innovator,Insidesales.com,Status
Innovator,Instacart,Status
Innovator,Intarcia,Status
Innovator,IronSource,Status
Innovator,Jasper Technologies,Status
Innovator,Jawbone,Status
Innovator,JD.com,Status
Innovator,JustFab,Status
Innovator,Kabam,Status
Innovator,KDD,Status
Innovator,Keybase,Status
Innovator,Koudai Shopping,Status
Innovator,Lamabang,Status
Innovator,Lazada Group,Status
Innovator,Legendary Entertainment,Status
Innovator,Lending Club,Status
Innovator,Lookout,Status
Innovator,LootCrate,Status
Innovator,Lufax,Status
Innovator,Lyft,Status
Innovator,MagicLeap,Status
Innovator,MapBox,Status
Innovator,MarkLogic,Status
Innovator,Meituan,Status
Innovator,MicroMax,Status
Innovator,Mobileye,Status
Innovator,Moderna,Status
Innovator,Mogujie,Status
Innovator,MongoDB,Status
Innovator,MuleSoft,Status
Innovator,Munchery,Status
Innovator,Navdy,Status
Innovator,Netflix,Status
Innovator,NextDoor,Status
Innovator,Nutanix,Status
Innovator,Ola Cabs,Status
Innovator,OnDeck,Status
Innovator,One97 Communications,Status
Innovator,Oscar Health,Status
Innovator,Palantir,Status
Innovator,PayPal,Status
Innovator,Pinterest,Status
Innovator,PluralSight,Status
Innovator,Powa,Status
Innovator,ProseibenSat,Status
Innovator,Prosper,Status
Innovator,Proteus Digital Health,Status
Innovator,PureStorage,Status
Innovator,Qualtrics,Status
Innovator,Quikr,Status
Innovator,Razer,Status
Innovator,Robinhood,Status
Innovator,Salesforce.com,Status
Innovator,Shazam,Status
Innovator,Shopify,Status
Innovator,Shyp,Status
Innovator,SimpliViti,Status
Innovator,Slack,Status
Innovator,Snapchat,Status
Innovator,SnapDeal,Status
Innovator,Social Finance,Status
Innovator,Softbank,Status
Innovator,Solar City,Status
Innovator,SpaceX,Status
Innovator,Spotify,Status
Innovator,Sprinklr,Status
Innovator,Square,Status
Innovator,Stripe,Status
Innovator,SunRun,Status
Innovator,Tango,Status
Innovator,Tanium,Status
Innovator,Tencent,Status
Innovator,Tesla,Status
Innovator,Theranos,Status
Innovator,TrendyGroup,Status
Innovator,Uber,Status
Innovator,Vancl,Status
Innovator,VIP Shops,Status
Innovator,Warby Parker,Status
Innovator,Waze,Status
Innovator,Wealthfront,Status
Innovator,WeWork,Status
Innovator,Xiaomi,Status
Innovator,YelloMobile,Status
Innovator,Zenefits,Status
Innovator,Zhong An Online,Status
Innovator,ZocDoc,Status
Innovator,Zomoto Media,Status
Innovator,Zullily,Status
AO,Alibaba,Theme
AO,Beepi,Theme
AO,BlaBla,Theme
AO,LootCrate,Theme
CR,Akamai,Theme
CR,Amazon,Theme
CR,Google,Theme
DA,AirBnB,Theme
DA,Beepi,Theme
DA,Credit Karma,Theme
DA,Evernote,Theme
DA,GrabTaxi,Theme
DA,Hailo,Theme
DA,Lyft,Theme
DA,Uber,Theme
DA,Warby Parker,Theme
DA,Wealthfront,Theme
DA,ZocDoc,Theme
DD,AirBnB,Theme
DD,Factual,Theme
DD,FitBit,Theme
DD,Garmin,Theme
DD,Gasbuddy,Theme
DD,Google,Theme
DD,Theranos,Theme
DS,Akamai,Theme
DS,Factual,Theme
DS,Garmin,Theme
DS,Google,Theme
ED,Bloom Energy,Theme
ED,Tesla,Theme
EE,Alibaba,Theme
EE,Amazon,Theme
EE,Apple,Theme
EE,ContextLogic (Wish),Theme
EE,Coupang,Theme
EE,Ebay,Theme
EE,FlipKart,Theme
EE,Gilt Group,Theme
EE,Instacart,Theme
EE,JD.com,Theme
EE,LootCrate,Theme
EE,Warby Parker,Theme
EE,Zullily,Theme
EP,AirBnB,Theme
EP,Amazon,Theme
EP,Apple,Theme
EP,Beepi,Theme
EP,BlaBla,Theme
EP,BlueApron,Theme
EP,ContextLogic (Wish),Theme
EP,Coupang,Theme
EP,Credit Karma,Theme
EP,DeliveryHero,Theme
EP,Gasbuddy,Theme
EP,GrabTaxi,Theme
EP,Hailo,Theme
EP,Houzz,Theme
EP,Lyft,Theme
EP,Munchery,Theme
EP,Uber,Theme
ES,BlueApron,Theme
ES,Docusign,Theme
EU,Docusign,Theme
EU,DropBox,Theme
EU,Evernote,Theme
EU,Zenefits,Theme
FU,Betterment,Theme
FU,Funding Circle,Theme
FU,Lending Club,Theme
FU,Wealthfront,Theme
HH,FitBit,Theme
HH,Jawbone,Theme
HH,MicroMax,Theme
HH,Mobileye,Theme
HH,Tesla,Theme
HH,Theranos,Theme
HR,FitBit,Theme
HR,Theranos,Theme
MEOM,BlaBla,Theme
MEOM,ContextLogic (Wish),Theme
MEOM,Coupang,Theme
MEOM,GrabTaxi,Theme
MEOM,Lyft,Theme
MEOM,Uber,Theme
MU,Amazon,Theme
MU,Apple,Theme
MU,GoPro,Theme
NO,Akamai,Theme
NP,DJI,Theme
NP,Factual,Theme
NP,GoPro,Theme
PS,Keybase,Theme
SA,AirBnB,Theme
SA,BlueApron,Theme
SA,Hailo,Theme
SA,Munchery,Theme
UF,Alibaba,Theme
UF,Credit Karma,Theme
UF,Dwolla,Theme
UU,Warby Parker,Theme
UU,Wealthfront,Theme
Apple,Uber,Commercial
Samsung,Uber,Partner
LG,Uber,Partner
HTC,Uber,Partner
Xiaomi,Uber,Partner
Apple,Uber,Partner
Google,Uber,Commercial
Nokia,Uber,Partner
Microsoft,Uber,Partner
Factual,Uber,Commercial
ATT,Uber,Commercial
Verizon,Uber,Commercial
T-Mobile,Uber,Commercial
Sprint,Uber,Commercial
Orange,Uber,Commercial
Vodafone,Uber,Commercial
NTT,Uber,Commercial
China Mobile,Uber,Commercial
ChinaCom,Uber,Commercial
Bharti,Uber,Commercial
DT,Uber,Commercial
BT,Uber,Commercial
FT,Uber,Commercial
Akamai,Uber,Commercial
Amazon,Uber,Partner
Amex,Uber,Commerical
MC,Uber,Commerical
Visa,Uber,Commerical
Discover,Uber,Commerical
PayPal,Uber,Commerical
FirstData,Uber,Commerical
GlobalPayments,Uber,Commerical
Chase,Uber,Commerical
BofA,Uber,Commerical
Stripe,Uber,Commerical
Dwolla,Uber,Commerical
Square,Uber,Commerical
Salesforce,Uber,Commerical
AIG,Uber,Partner
Geico,Uber,Partner
State Farm,Uber,Partner
Liberty Mutual,Uber,Partner
Chase,Uber,Partner
Ally,Uber,Partner
BofA,Uber,Partner
Santander,Uber,Partner
Honda,Uber,Partner
Nissan,Uber,Partner
BMW,Uber,Partner
Wells Fargo,Uber,Partner
Ford,Uber,Partner
GM,Uber,Partner
ChryslerFiat,Uber,Partner
BMW,Uber,Partner
Mercedes,Uber,Partner
VW,Uber,Partner
Kia,Uber,Partner
Hyundai,Uber,Partner
Toyota,Uber,Partner
Google,Uber,Investor
Google,Uber,Competitor
Yahoo,Uber,Commercial
InRix,Uber,Commercial
US,InRix,Location
